SYMBOL,SYMBOL P/E,ADJUSTED P/E
GPPL,15.08,15.54
ADFFOODS,37.92,36.00
WELINV,217.05,217.05
WAAREEINDO,6.49,6.49
KILITCH,21.98,21.98
DEEPAKNTR,39.96,39.31
CPCAP,4.81,4.81
GREENPOWER,16.76,19.59
RAMKY,9.74,12.81
CANTABIL,22.95,22.95
WABAG,37.09,36.83
ASHOKA,1.40,14.78
BEDMUTHA,49.44,49.44
JWL,62.09,57.91
OBEROIRLTY,27.83,27.64
PRESTIGE,54.50,54.50
SHAH,32.46,32.46
CGCL,24.07,24.07
RESPONIND,38.09,37.95
COALINDIA,8.72,8.72
IOLCP,35.20,33.09
GRAVITA,34.87,34.87
JINDWORLD,46.67,47.40
PENIND,16.89,16.89
RPPINFRA,26.26,29.46
JAMNAAUTO,23.44,22.66
SUMEETINDS,70.56,68.82
MOIL,20.98,20.98
ZEELEARN,7.32,15.19
A2ZINFRA,,27.82
KIRLOSENG,59.17,56.65
RKDL,326.49,36.21
PSB,13.30,13.30
FMNL,9.73,9.73
SURANASOL,117.07,117.07
SHEKHAWATI,5.53,5.53
KICL,64.82,48.64
SUMMITSEC,16.00,16.00
STEL,49.96,49.96
TEXRAIL,28.27,27.84
HFCL,105.31,105.38
LOVABLE,14.84,14.84
PFS,6.19,6.15
MUTHOOTFIN,11.83,11.83
VADILALIND,30.08,30.08
SYMPHONY,,43.67
PIIND,30.60,32.70
RELAXO,54.50,54.50
OMINFRAL,42.25,42.25
VSTTILLERS,37.08,37.09
DELPHIFX,72.80,51.45
KARMAENG,43.79,108.12
ASHIANA,32.34,32.34
DHANUKA,16.65,16.65
MAITHANALL,6.63,6.63
RUSHIL,72.15,72.15
INVENTURE,25.38,27.72
LTF,28.07,27.89
WINDMACHIN,,749.41
IBULLSLTD,19.60,16.47
BODALCHEM,16.08,16.07
GAYAPROJ,0.48,10.81
ASAHISONG,17.05,17.05
FILATEX,13.97,13.97
BROOKS,37.06,37.06
TDPOWERSYS,73.33,73.33
APLLTD,24.31,22.52
VASWANI,42.42,42.42
PGEL,85.35,85.35
PANAMAPET,12.33,12.33
PAISALO,26.66,26.60
ONELIFECAP,25.20,25.20
SHAKTIPUMP,28.55,28.55
TRITURBINE,57.70,55.96
INDOTHAI,43.72,43.72
ESSARSHPNG,,74.02
DSSL,19.90,19.90
JISLDVREQS,5.52,0.96
POLYMED,53.72,52.89
RUPA,18.55,17.51
VIKASECO,279.03,279.03
APLAPOLLO,42.00,42.00
KANANIIND,11.67,11.67
MINDACORP,59.20,59.12
THOMASCOTT,21.15,20.26
DBSTOCKBRO,47.37,47.37
IRFC,16.77,16.77
COMPUSOFT,35.73,349.09
RHIM,,41.68
SCHNEIDER,167.90,162.60
NDL,10.36,10.36
NBCC,35.85,38.94
TBZ,6.55,6.55
VSSL,21.56,21.56
SWANCORP,38.39,38.39
SPECIALITY,29.82,26.24
CINELINE,24.44,23.50
SAMPANN,20.55,20.55
PROZONER,40.56,40.56
THEJO,41.83,40.30
MAYURUNIQ,19.38,19.38
ROSSELLIND,13.58,13.40
DUCON,9.44,9.44
TVSHLTD,8.37,8.29
ZUARI,1.28,
VETO,9.63,9.63
